NAME,GENUS,SPECIES,STRAIN,TAXONOMY
Penicillium_polonicum,Penicillium,polonicum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Saccharomyces_cerevisiae_yjm1273,Saccharomyces,cerevisiae,yjm1273,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Pezoloma_ericae,Pezoloma,ericae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Hyaloscyphaceae;genus:Hyaloscypha
Pseudocercospora_fijiensis_cirad86,Pseudocercospora,fijiensis,cirad86,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;family:Mycosphaerellaceae;genus:Pseudocercospora
Aspergillus_cristatus,Aspergillus,cristatus,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Cryptococcus_gattii_ca1280,Cryptococcus,gattii,ca1280,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
candida_arabinofermentans_nrrl_yb_2248,candida,arabinofermentans,nrrl_yb_2248,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Pichiaceae;genus:Ogataea
Meliniomyces_variabilis_f,Meliniomyces,variabilis,f,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Hyaloscyphaceae;genus:Hyaloscypha
Stagonospora_sp_src1lsm3a,Stagonospora,sp,src1lsm3a,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Massarinaceae;genus:Stagonospora
Saccharomyces_kudriavzevii_ifo_1802,Saccharomyces,kudriavzevii,ifo_1802,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Trametes_versicolor_fp_101664_ss1,Trametes,versicolor,fp_101664_ss1,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Polyporaceae;genus:Trametes
Talaromyces_atroroseus,Talaromyces,atroroseus,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Trichocomaceae;genus:Talaromyces
Pleurotus_ostreatus_pc15,Pleurotus,ostreatus,pc15,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Pleurotaceae;genus:Pleurotus
Trichosporon_asahii_var_asahii_cbs_2479,Trichosporon,asahii,var_asahii_cbs_2479,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Trichosporonaceae;genus:Trichosporon
Saccharomyces_cerevisiae_yjm554,Saccharomyces,cerevisiae,yjm554,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Amanita_thiersii_skay4041,Amanita,thiersii,skay4041,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Amanitaceae;genus:Amanita
Coccidioides_posadasii_str_silveira,Coccidioides,posadasii,str_silveira,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;;genus:Coccidioides
Pichia_kudriavzevii,Pichia,kudriavzevii,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Pichiaceae;genus:Pichia
Moniliophthora_roreri,Moniliophthora,roreri,,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Marasmiaceae;genus:Moniliophthora
Sistotremastrum_suecicum_hhb10207_ss_3,Sistotremastrum,suecicum,hhb10207_ss_3,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Hydnodontaceae;genus:Sistotremastrum
Fonsecaea_monophora,Fonsecaea,monophora,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Chaetothyriomycetidae;family:Herpotrichiellaceae;genus:Fonsecaea
Neocallimastix_californiae,Neocallimastix,californiae,,phylum:Chytridiomycota;;class:Neocallimastigomycetes;;family:Neocallimastigaceae;genus:Neocallimastix
Rhodotorula_taiwanensis,Rhodotorula,taiwanensis,,phylum:Basidiomycota;subphylum:Pucciniomycotina;class:Microbotryomycetes;;family:Sporidiobolaceae;genus:Rhodotorula
Fusarium_solani,Fusarium,solani,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Aspergillus_sydowii_cbs_593_65,Aspergillus,sydowii,cbs_593_65,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Ophiocordyceps_australis,Ophiocordyceps,australis,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Ophiocordycipitaceae;genus:Ophiocordyceps
Saccharomyces_cerevisiae_ec1118,Saccharomyces,cerevisiae,ec1118,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Saccharomyces_cerevisiae_yjm972,Saccharomyces,cerevisiae,yjm972,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Hepatospora_eriocheir,Hepatospora,eriocheir,,phylum:Microsporidia;;;;family:Enterocytozoonidae;genus:Hepatospora
Blastomyces_dermatitidis_atcc_18188,Blastomyces,dermatitidis,atcc_18188,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Ajellomycetaceae;genus:Blastomyces
Saccharomyces_cerevisiae_yjm1202,Saccharomyces,cerevisiae,yjm1202,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Gymnopus_luxurians_fd_317_m1,Gymnopus,luxurians,fd_317_m1,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Omphalotaceae;genus:Gymnopus
Valsa_mali,Valsa,mali,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Sordariomycetidae;family:Valsaceae;genus:Valsa
Cladophialophora_bantiana_cbs_173_52,Cladophialophora,bantiana,cbs_173_52,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Chaetothyriomycetidae;family:Herpotrichiellaceae;genus:Cladophialophora
Penicillium_rubens_wisconsin_54_1255,Penicillium,rubens,wisconsin_54_1255,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Fusarium_oxysporum_f_sp_cubense_tropical_race_4_54006,Fusarium,oxysporum,f_sp_cubense_tropical_race_4_54006,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Saccharomyces_cerevisiae_yjm1444,Saccharomyces,cerevisiae,yjm1444,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Penicillium_occitanis,Penicillium,occitanis,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Aspergillus_turcosus,Aspergillus,turcosus,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Aspergillus_neoniger_cbs_115656,Aspergillus,neoniger,cbs_115656,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Metarhizium_anisopliae,Metarhizium,anisopliae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Clavicipitaceae;genus:Metarhizium
Kwoniella_mangroviensis_cbs_10435,Kwoniella,mangroviensis,cbs_10435,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Kwoniella
Hesseltinella_vesiculosa,Hesseltinella,vesiculosa,,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Cunninghamellaceae;genus:Hesseltinella
Pochonia_chlamydosporia_170,Pochonia,chlamydosporia,170,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Clavicipitaceae;genus:Pochonia
Kazachstania_naganishii_cbs_8797,Kazachstania,naganishii,cbs_8797,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Kazachstania
Penicillium_occitanis,Penicillium,occitanis,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Ascoidea_rubescens_dsm_1968,Ascoidea,rubescens,dsm_1968,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Ascoideaceae;genus:Ascoidea
Fusarium_fujikuroi,Fusarium,fujikuroi,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Pseudogymnoascus_destructans,Pseudogymnoascus,destructans,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Pseudeurotiaceae;genus:Pseudogymnoascus
candida_glabrata,candida,glabrata,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Nakaseomyces
Pseudogymnoascus_sp_vkm_f_4281_fw_2241_,Pseudogymnoascus,sp,vkm_f_4281_fw_2241_,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Pseudeurotiaceae;genus:Pseudogymnoascus
Puccinia_striiformis_f_sp_tritici_pst_78,Puccinia,striiformis,f_sp_tritici_pst_78,phylum:Basidiomycota;subphylum:Pucciniomycotina;class:Pucciniomycetes;;family:Pucciniaceae;genus:Puccinia
Zymoseptoria_tritici_st99ch_1e4,Zymoseptoria,tritici,st99ch_1e4,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;family:Mycosphaerellaceae;genus:Zymoseptoria
Colletotrichum_tofieldiae,Colletotrichum,tofieldiae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Glomerellaceae;genus:Colletotrichum
Saccharomyces_cerevisiae_yjm1592,Saccharomyces,cerevisiae,yjm1592,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Puccinia_striiformis,Puccinia,striiformis,,phylum:Basidiomycota;subphylum:Pucciniomycotina;class:Pucciniomycetes;;family:Pucciniaceae;genus:Puccinia
Helicocarpus_griseus_uamh5409,Helicocarpus,griseus,uamh5409,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Ajellomycetaceae;genus:Helicocarpus
Puccinia_striiformis,Puccinia,striiformis,,phylum:Basidiomycota;subphylum:Pucciniomycotina;class:Pucciniomycetes;;family:Pucciniaceae;genus:Puccinia
Plicaturopsis_crispa_fd_325_ss_3,Plicaturopsis,crispa,fd_325_ss_3,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Amylocorticiaceae;genus:Plicaturopsis
Moelleriella_libera_rcef_2490,Moelleriella,libera,rcef_2490,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Clavicipitaceae;genus:Moelleriella
Verticillium_dahliae,Verticillium,dahliae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Plectosphaerellaceae;genus:Verticillium
Penicillium_italicum,Penicillium,italicum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Penicillium_decumbens,Penicillium,decumbens,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Naumovozyma_castellii_cbs_4309,Naumovozyma,castellii,cbs_4309,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Naumovozyma
candida_glabrata,candida,glabrata,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Nakaseomyces
Aspergillus_oryzae,Aspergillus,oryzae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Cryptococcus_neoformans_var_grubii_bt120,Cryptococcus,neoformans,var_grubii_bt120,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
candida_glabrata,candida,glabrata,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Nakaseomyces
Macrophomina_phaseolina_ms6,Macrophomina,phaseolina,ms6,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;;family:Botryosphaeriaceae;genus:Macrophomina
candida_auris,candida,auris,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Metschnikowiaceae;genus:Clavispora
Paracoccidioides_brasiliensis_pb18,Paracoccidioides,brasiliensis,pb18,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;;genus:Paracoccidioides
Cryptococcus_neoformans_var_grubii_bt1,Cryptococcus,neoformans,var_grubii_bt1,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Cryptococcus_neoformans_var_grubii_mw_rsa852,Cryptococcus,neoformans,var_grubii_mw_rsa852,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Coniophora_puteana_rwd_64_598_ss2,Coniophora,puteana,rwd_64_598_ss2,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Coniophoraceae;genus:Coniophora
Eremothecium_cymbalariae_dbvpg_7215,Eremothecium,cymbalariae,dbvpg_7215,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Eremothecium
Pseudoloma_neurophilia,Pseudoloma,neurophilia,,phylum:Microsporidia;;;;;genus:Pseudoloma
Spathaspora_passalidarum_nrrl_y_27907,Spathaspora,passalidarum,nrrl_y_27907,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Debaryomycetaceae;genus:Spathaspora
Metarhizium_rileyi_rcef_4871,Metarhizium,rileyi,rcef_4871,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Clavicipitaceae;genus:Metarhizium
Botrytis_cinerea_t4,Botrytis,cinerea,t4,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Sclerotiniaceae;genus:Botrytis
Saccharomyces_cerevisiae_yjm1326,Saccharomyces,cerevisiae,yjm1326,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Nosema_bombycis_cq1,Nosema,bombycis,cq1,phylum:Microsporidia;;;;family:Nosematidae;genus:Nosema
Pichia_kudriavzevii,Pichia,kudriavzevii,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Pichiaceae;genus:Pichia
Yarrowia_lipolytica,Yarrowia,lipolytica,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Dipodascaceae;genus:Yarrowia
