NAME,GENUS,SPECIES,STRAIN,TAXONOMY
Paracoccidioides_brasiliensis,Paracoccidioides,brasiliensis,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;;genus:Paracoccidioides
Histoplasma_capsulatum_nam1,Histoplasma,capsulatum,nam1,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Ajellomycetaceae;genus:Histoplasma
Aspergillus_vadensis_cbs_113365,Aspergillus,vadensis,cbs_113365,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Hanseniaspora_osmophila,Hanseniaspora,osmophila,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycodaceae;genus:Hanseniaspora
Saitoella_complicata_nrrl_y_17804,Saitoella,complicata,nrrl_y_17804,phylum:Ascomycota;subphylum:Taphrinomycotina;;;;genus:Saitoella
Trametes_coccinea_brfm310,Trametes,coccinea,brfm310,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Polyporaceae;genus:Trametes
Phaeomoniella_chlamydospora,Phaeomoniella,chlamydospora,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Chaetothyriomycetidae;family:Phaeomoniellaceae;genus:Phaeomoniella
Rhodotorula_toruloides_np11,Rhodotorula,toruloides,np11,phylum:Basidiomycota;subphylum:Pucciniomycotina;class:Microbotryomycetes;;family:Sporidiobolaceae;genus:Rhodotorula
Madurella_mycetomatis,Madurella,mycetomatis,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Sordariomycetidae;;genus:Madurella
Talaromyces_marneffei_atcc_18224,Talaromyces,marneffei,atcc_18224,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Trichocomaceae;genus:Talaromyces
Saccharomyces_cerevisiae_yjm1190,Saccharomyces,cerevisiae,yjm1190,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Saccharomyces_cerevisiae_yjm1248,Saccharomyces,cerevisiae,yjm1248,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Saccharomyces_cerevisiae_yjm1338,Saccharomyces,cerevisiae,yjm1338,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Blastomyces_percursus,Blastomyces,percursus,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Ajellomycetaceae;genus:Blastomyces
Laccaria_bicolor_s238n_h82,Laccaria,bicolor,s238n_h82,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Tricholomataceae;genus:Laccaria
Rhizopus_microsporus,Rhizopus,microsporus,,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Rhizopodaceae;genus:Rhizopus
Lachancea_quebecensis,Lachancea,quebecensis,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Lachancea
Saccharomyces_cerevisiae_yjm1460,Saccharomyces,cerevisiae,yjm1460,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Saccharomyces_cerevisiae_yjm990,Saccharomyces,cerevisiae,yjm990,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Protomyces_lactucaedebilis,Protomyces,lactucaedebilis,,phylum:Ascomycota;subphylum:Taphrinomycotina;class:Taphrinomycetes;;family:Protomycetaceae;genus:Protomyces
Penicillium_coprophilum,Penicillium,coprophilum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Nosema_apis_brl_01,Nosema,apis,brl_01,phylum:Microsporidia;;;;family:Nosematidae;genus:Nosema
Aspergillus_lentulus,Aspergillus,lentulus,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Verticillium_dahliae,Verticillium,dahliae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Plectosphaerellaceae;genus:Verticillium
Sporisorium_reilianum_f_sp_reilianum,Sporisorium,reilianum,f_sp_reilianum,phylum:Basidiomycota;subphylum:Ustilaginomycotina;class:Ustilaginomycetes;;family:Ustilaginaceae;genus:Sporisorium
Ceraceosorus_bombacis,Ceraceosorus,bombacis,,phylum:Basidiomycota;subphylum:Ustilaginomycotina;class:Exobasidiomycetes;;family:Ceraceosoraceae;genus:Ceraceosorus
Cryptococcus_neoformans_var_grubii,Cryptococcus,neoformans,var_grubii,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Pseudogymnoascus_sp_03vt05,Pseudogymnoascus,sp,03vt05,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Pseudeurotiaceae;genus:Pseudogymnoascus
Pseudogymnoascus_sp_vkm_f_4516_fw_969_,Pseudogymnoascus,sp,vkm_f_4516_fw_969_,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Pseudeurotiaceae;genus:Pseudogymnoascus
Phialocephala_subalpina,Phialocephala,subalpina,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Mollisiaceae;genus:Phialocephala
Neurospora_crassa,Neurospora,crassa,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Sordariomycetidae;family:Sordariaceae;genus:Neurospora
Coniosporium_apollinis_cbs_100218,Coniosporium,apollinis,cbs_100218,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;;;genus:Bonordeniella
Aspergillus_brasiliensis_cbs_101740,Aspergillus,brasiliensis,cbs_101740,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Colletotrichum_chlorophyti,Colletotrichum,chlorophyti,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Glomerellaceae;genus:Colletotrichum
Aspergillus_niger_atcc_1015,Aspergillus,niger,atcc_1015,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Aspergillus
Verticillium_dahliae,Verticillium,dahliae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Plectosphaerellaceae;genus:Verticillium
Cryptococcus_depauperatus_cbs_7855,Cryptococcus,depauperatus,cbs_7855,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Saccharomyces_cerevisiae_yjm1133,Saccharomyces,cerevisiae,yjm1133,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Zymoseptoria_tritici_st99ch_1a5,Zymoseptoria,tritici,st99ch_1a5,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;family:Mycosphaerellaceae;genus:Zymoseptoria
Rachicladosporium_sp_ccfee_5018,Rachicladosporium,sp,ccfee_5018,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;family:Cladosporiaceae;genus:Rachicladosporium
Cryptococcus_gattii_ejb2,Cryptococcus,gattii,ejb2,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Nosema_ceranae,Nosema,ceranae,,phylum:Microsporidia;;;;family:Nosematidae;genus:Nosema
Fusarium_mangiferae,Fusarium,mangiferae,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Nectriaceae;genus:Fusarium
Penicillium_expansum,Penicillium,expansum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Aspergillaceae;genus:Penicillium
Rhizopus_microsporus_var_microsporus,Rhizopus,microsporus,var_microsporus,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Rhizopodaceae;genus:Rhizopus
Fonsecaea_pedrosoi_cbs_271_37,Fonsecaea,pedrosoi,cbs_271_37,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Chaetothyriomycetidae;family:Herpotrichiellaceae;genus:Fonsecaea
Saccharomyces_cerevisiae_yjm1399,Saccharomyces,cerevisiae,yjm1399,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Saccharomyces_cerevisiae_yjm1342,Saccharomyces,cerevisiae,yjm1342,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Cryptococcus_neoformans_var_grubii,Cryptococcus,neoformans,var_grubii,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Cryptococcus
Tilletia_indica,Tilletia,indica,,phylum:Basidiomycota;subphylum:Ustilaginomycotina;class:Exobasidiomycetes;;family:Tilletiaceae;genus:Tilletia
Kwoniella_bestiolae_cbs_10118,Kwoniella,bestiolae,cbs_10118,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Tremellomycetes;;family:Cryptococcaceae;genus:Kwoniella
Mucor_circinelloides_f_lusitanicus_cbs_277_49,Mucor,circinelloides,f_lusitanicus_cbs_277_49,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Mucoraceae;genus:Mucor
Anncaliia_algerae_pra339,Anncaliia,algerae,pra339,phylum:Microsporidia;;;;family:Tubulinosematidae;genus:Anncaliia
Saccharomyces_cerevisiae_yjm270,Saccharomyces,cerevisiae,yjm270,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Saccharomyces_cerevisiae_yjm627,Saccharomyces,cerevisiae,yjm627,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Saccharomyces_cerevisiae_yjm789,Saccharomyces,cerevisiae,yjm789,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Saccharomyces
Purpureocillium_lilacinum,Purpureocillium,lilacinum,,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;family:Ophiocordycipitaceae;genus:Purpureocillium
Zygosaccharomyces_parabailii,Zygosaccharomyces,parabailii,,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;family:Saccharomycetaceae;genus:Zygosaccharomyces
